solicitar (56.3, 36.8) ;
solicitar (41.8, 20.8) ;
solicitar (23.4, 60.8) ;
solicitar (4.0, 60.1) ;
solicitar (26.5, 2.2) ;
solicitar (6.7, 41.8) ;
solicitar (93.2, 33.7) ;
solicitar (5.0, 82.6) ;
solicitar (97.0, 63.4) ;
solicitar (33.0, 45.9) ;
solicitar (12.7, 13.7) ;
solicitar (83.6, 47.2) ;
solicitar (74.3, 9.7) ;
solicitar (64.2, 82.1) ;
solicitar (66.9, 80.2) ;
solicitar (63.0, 76.7) ;
solicitar (54.1, 9.9) ;
solicitar (24.0, 81.1) ;
solicitar (20.2, 87.9) ;
solicitar (46.0, 12.6) ;
solicitar (39.4, 15.2) ;
solicitar (78.6, 98.4) ;
solicitar (27.9, 35.2) ;
solicitar (68.6, 44.8) ;
solicitar (44.1, 18.2) ;
solicitar (16.0, 81.3) ;
solicitar (52.2, 74.7) ;
solicitar (61.6, 19.5) ;
solicitar (27.1, 40.6) ;
solicitar (85.5, 48.8) ;
solicitar (13.3, 52.4) ;
solicitar (99.0, 12.1) ;
solicitar (64.3, 98.2) ;
solicitar (58.5, 71.4) ;
solicitar (43.0, 93.5) ;
solicitar (5.3, 64.7) ;
solicitar (62.6, 33.5) ;
solicitar (62.2, 29.8) ;
solicitar (64.3, 8.7) ;
solicitar (80.4, 85.8) ;
solicitar (32.4, 43.4) ;
solicitar (7.6, 56.0) ;
solicitar (38.6, 14.2) ;
solicitar (80.3, 34.8) ;
solicitar (33.0, 55.2) ;
solicitar (98.5, 97.9) ;
solicitar (91.9, 79.1) ;
solicitar (3.7, 79.8) ;
solicitar (91.6, 15.6) ;
solicitar (60.2, 81.1) ;
solicitar (21.2, 68.9) ;
solicitar (65.3, 49.3) ;
solicitar (30.3, 56.7) ;
solicitar (44.5, 36.6) ;
solicitar (65.3, 15.2) ;
solicitar (8.3, 36.2) ;
solicitar (50.9, 3.2) ;
solicitar (78.1, 94.7) ;
solicitar (64.7, 96.1) ;
solicitar (66.7, 63.0) ;
solicitar (83.8, 98.3) ;
solicitar (27.5, 49.8) ;
solicitar (20.3, 12.5) ;
solicitar (98.1, 86.0) ;
solicitar (73.8, 87.7) ;
solicitar (80.0, 35.3) ;
solicitar (61.8, 50.2) ;
solicitar (50.5, 50.6) ;
solicitar (15.0, 65.2) ;
solicitar (42.1, 7.8) ;
solicitar (49.6, 26.8) ;
solicitar (14.5, 24.2) ;
solicitar (52.7, 8.1) ;
solicitar (23.6, 11.0) ;
solicitar (26.5, 30.6) ;
solicitar (90.7, 69.7) ;
solicitar (57.2, 27.4) ;
solicitar (61.1, 5.0) ;
solicitar (91.4, 72.6) ;
solicitar (80.3, 22.3) ;
solicitar (71.8, 14.1) ;
solicitar (16.4, 82.5) ;
solicitar (61.8, 57.6) ;
solicitar (77.2, 35.4) ;
solicitar (67.5, 75.7) ;
solicitar (62.3, 22.0) ;
solicitar (39.0, 51.7) ;
solicitar (17.7, 74.8) ;
solicitar (22.9, 1.1) ;
solicitar (14.1, 77.1) ;
solicitar (0.6, 27.8) ;
solicitar (41.1, 47.9) ;
solicitar (18.6, 62.6) ;
solicitar (1.4, 85.6) ;
solicitar (48.4, 85.3) ;
solicitar (54.0, 42.7) ;
solicitar (75.5, 33.6) ;
solicitar (59.1, 81.9) ;
solicitar (20.1, 2.1) ;
solicitar (21.1, 14.4) ;
solicitar (85.0, 98.4) ;
solicitar (3.5, 44.6) ;
solicitar (61.1, 22.7) ;
solicitar (50.9, 17.4) ;
solicitar (4.0, 34.0) ;
solicitar (30.9, 8.6) ;
solicitar (3.5, 92.7) ;
solicitar (94.8, 18.5) ;
solicitar (20.8, 50.6) ;
solicitar (21.4, 63.5) ;
solicitar (7.8, 94.8) ;
solicitar (95.0, 49.4) ;
solicitar (60.6, 89.2) ;
solicitar (63.6, 18.0) ;
solicitar (32.6, 55.6) ;
solicitar (94.5, 78.8) ;
solicitar (22.8, 11.7) ;
solicitar (9.0, 25.4) ;
solicitar (73.4, 26.1) ;
solicitar (12.9, 28.4) ;
solicitar (60.2, 67.2) ;
solicitar (77.4, 80.6) ;
solicitar (36.8, 3.2) ;
solicitar (53.9, 83.3) ;
solicitar (91.6, 63.3) ;
solicitar (19.9, 15.5) ;
solicitar (3.2, 43.4) ;
solicitar (57.9, 19.1) ;
solicitar (77.0, 72.6) ;
